datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-23,041 Benelux,HEIJM.AS,7,114.4,93.6,34.3,47.7,47.4,2.3,1.21,105.25,True,True,True,True,True,True,True,102.2
2026-06-23,041 Benelux,ARGX.BR,6,813.0,85.9,116.0,0.0,46.9,0.0,1.42,747.96,True,False,True,True,True,True,True,98.8
2026-06-23,041 Benelux,KENDR.AS,6,19.86,89.1,40.6,40.3,48.3,8.1,1.82,18.27,True,False,True,True,True,True,True,81.9
2026-06-23,041 Benelux,JEN.BR,6,82.0,80.9,34.4,37.5,8.0,6.0,0.9,75.44,True,True,True,False,True,True,True,79.6
2026-06-23,041 Benelux,BESI.AS,5,296.8,94.7,63.7,-13.8,63.6,7.3,0.95,273.06,True,False,True,False,True,True,True,75.3
2026-06-23,041 Benelux,MT.AS,5,55.84,92.2,-28.6,85.2,28.1,10.1,0.84,51.37,False,True,True,False,True,True,True,68.4
2026-06-23,041 Benelux,BAMNB.AS,4,12.34,87.0,0.0,9.8,44.0,1.2,0.53,11.35,False,False,True,False,True,True,True,67.4
2026-06-23,041 Benelux,NEDAP.AS,5,96.5,74.0,32.0,6.6,28.5,3.4,1.23,88.78,True,False,True,True,False,True,True,63.2
2026-06-23,041 Benelux,ASML.AS,4,1560.8,93.4,17.1,10.7,46.6,6.9,0.82,1435.94,False,False,True,False,True,True,True,58.7
2026-06-23,041 Benelux,SIP.BR,4,93.6,74.7,66.0,31.3,3.2,4.0,1.31,86.11,True,False,True,True,False,False,True,56.6
2026-06-23,041 Benelux,UCB.BR,5,251.7,70.8,26.4,113.1,41.8,11.3,0.92,231.56,True,True,True,False,False,True,True,52.6
