datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-19,045 Londen,LSL.L,4,210.0,37.4,✓ oververkocht (37.4),✗ neutraal (-16.503),55.2,✓ 55.2% opwaarts (ratio 6.3:1),205.0,✓ 2.4% boven bodem (205.00),325.84,191.53,530.0,✓ 530.00%
2026-06-19,045 Londen,REC.L,4,47.0,33.9,✓ oververkocht (33.9),✗ neutraal (-4.711),42.9,✓ 42.9% opwaarts (ratio 4.7:1),47.0,✓ 0.0% boven bodem (47.00),67.15,42.71,833.0,✓ 833.00%
2026-06-19,045 Londen,LIO.L,4,301.5,39.2,✓ oververkocht (39.2),✓ histogram ↑ (6.897),36.9,✓ 36.9% opwaarts (ratio 4.3:1),231.5,✗ 30.2% boven bodem (231.50),412.88,275.8,1845.0,✓ 1845.00%
2026-06-19,045 Londen,RMV.L,3,417.9,32.3,✓ oververkocht (32.3),✗ neutraal (-46.603),97.1,✓ 97.1% opwaarts (ratio 15.4:1),404.0,✗ 3.4% boven bodem (404.00),823.63,391.61,244.0,✓ 244.00%
2026-06-19,045 Londen,CARD.L,3,63.6,38.4,✓ oververkocht (38.4),✗ neutraal (-8.141),73.8,✓ 73.8% opwaarts (ratio 8.5:1),60.07,✗ 5.9% boven bodem (60.07),110.53,58.08,772.0,✓ 772.00%
2026-06-19,045 Londen,APTD.L,3,207.0,33.4,✓ oververkocht (33.4),✗ neutraal (-26.558),66.1,✓ 66.1% opwaarts (ratio 5.7:1),207.0,✓ 0.0% boven bodem (207.00),343.92,183.13,0.0,✗ geen dividend
2026-06-19,045 Londen,FORT.L,3,133.8,36.3,✓ oververkocht (36.3),✗ neutraal (-5.046),52.4,✓ 52.4% opwaarts (ratio 5.9:1),127.8,✗ 4.7% boven bodem (127.80),203.91,121.85,474.0,✓ 474.00%
2026-06-19,045 Londen,PSN.L,3,1031.5,43.6,✗ neutraal (43.6),✗ neutraal (-31.615),49.6,✓ 49.6% opwaarts (ratio 6.9:1),1016.14,✓ 1.5% boven bodem (1016.14),1542.95,957.27,556.0,✓ 556.00%
2026-06-19,045 Londen,FOXT.L,3,46.55,44.6,✓ herstel (44.6 ↑),✗ neutraal (-2.117),45.4,✓ 45.4% opwaarts (ratio 5.8:1),41.55,✗ 12.0% boven bodem (41.55),67.68,42.92,249.0,✓ 249.00%
2026-06-19,045 Londen,MRO.L,3,471.0,43.8,✓ herstel (43.8 ↑),✗ neutraal (-10.002),44.7,✓ 44.7% opwaarts (ratio 6.8:1),448.2,✗ 5.1% boven bodem (448.20),681.74,440.06,154.0,✓ 154.00%
2026-06-19,045 Londen,RKT.L,3,4614.0,35.9,✓ oververkocht (35.9),✗ neutraal (-101.744),41.1,✓ 41.1% opwaarts (ratio 4.3:1),4443.0,✗ 3.8% boven bodem (4443.00),6510.44,4174.09,465.0,✓ 465.00%
2026-06-19,045 Londen,PCTN.L,3,69.9,44.7,✗ neutraal (44.7),✗ neutraal (1.469),27.5,✓ 27.5% opwaarts (ratio 3.5:1),69.6,✓ 0.4% boven bodem (69.60),89.09,64.35,532.0,✓ 532.00%
2026-06-19,045 Londen,SN.L,3,1125.0,45.7,✓ herstel (45.7 ↑),✗ neutraal (14.957),27.5,✓ 27.5% opwaarts (ratio 6.5:1),1073.5,✗ 4.8% boven bodem (1073.50),1434.67,1077.69,257.0,✓ 257.00%
2026-06-19,045 Londen,BKG.L,3,3522.0,45.0,✓ herstel (45.0 ↑),✗ neutraal (-208.405),25.9,✓ 25.9% opwaarts (ratio 4.4:1),3104.0,✗ 13.5% boven bodem (3104.00),4434.0,3312.45,167.0,✓ 167.00%
2026-06-19,045 Londen,MONY.L,3,181.4,41.5,✓ herstel (41.5 ↑),✓ bullish crossover,22.0,✗ 22.0% / ratio 4.0:1,144.41,✗ 25.6% boven bodem (144.41),221.23,171.46,702.0,✓ 702.00%
