# MASTERLIJST 043 — Frankfurt
# Laatste update: 22/08/2026
# Criteria: ROE>7% | Debt<130 | Marge>4% | Vol 18%-65% | Omzet>€150,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
1INN.DE          | opname:2026-08-16 | ROE:84.7% | Debt:16.5 | Marge:42.4% | Vol:45.8% | Omzet:641,690 | actief
1N8.DE           | opname:2026-08-22 | ROE:21.3% | Debt:6.9 | Marge:43.6% | Vol:46.7% | Omzet:533,094 | actief
1SXP.DE          | opname:2026-08-16 | ROE:14.7% | Debt:30.9 | Marge:13.4% | Vol:33.9% | Omzet:1,331,782 | actief
1TY.DE           | opname:2026-08-22 | ROE:22.2% | Debt:32.9 | Marge:119.9% | Vol:35.2% | Omzet:237,081 | actief
1YD.DE           | opname:2026-08-16 | ROE:37.3% | Debt:74.0 | Marge:38.8% | Vol:46.7% | Omzet:2,990,882 | actief
2FE.DE           | opname:2026-08-16 | ROE:45.4% | Debt:86.4 | Marge:22.2% | Vol:34.5% | Omzet:1,496,250 | actief
2GB.DE           | opname:2026-08-16 | ROE:11.1% | Debt:15.5 | Marge:4.2% | Vol:56.5% | Omzet:1,969,822 | actief
2PP.DE           | opname:2026-08-16 | ROE:24.5% | Debt:71.8 | Marge:14.4% | Vol:42.4% | Omzet:1,476,334 | actief
3V64.DE          | opname:2026-08-22 | ROE:61.2% | Debt:67.8 | Marge:50.8% | Vol:21.9% | Omzet:521,347 | actief
4S0.DE           | opname:2026-08-16 | ROE:14.2% | Debt:67.5 | Marge:11.3% | Vol:57.2% | Omzet:1,568,340 | actief
5UR.DE           | opname:2026-08-22 | ROE:12.3% | Debt:57.0 | Marge:8.3% | Vol:25.6% | Omzet:154,093 | actief
639.DE           | opname:2026-08-22 | ROE:44.5% | Debt:5.6 | Marge:18.4% | Vol:44.6% | Omzet:510,016 | actief
690D.DE          | opname:2026-08-22 | ROE:14.9% | Debt:31.2 | Marge:6.3% | Vol:19.0% | Omzet:199,493 | actief
7DZ.DE           | opname:2026-08-22 | ROE:12.6% | Debt:15.9 | Marge:9.1% | Vol:28.2% | Omzet:1,007,382 | actief
AAG.DE           | opname:2026-08-22 | ROE:7.2% | Debt:2.1 | Marge:7.8% | Vol:38.1% | Omzet:312,401 | actief
ABEA.DE          | opname:2026-08-16 | ROE:48.7% | Debt:18.9 | Marge:54.8% | Vol:32.3% | Omzet:10,036,481 | actief
ABEC.DE          | opname:2026-08-16 | ROE:48.7% | Debt:18.9 | Marge:54.8% | Vol:32.1% | Omzet:2,900,842 | actief
ABJ.DE           | opname:2026-08-22 | ROE:32.6% | Debt:55.8 | Marge:14.1% | Vol:28.6% | Omzet:279,054 | actief
ABR0.DE          | opname:2026-08-16 | ROE:27.0% | Debt:12.7 | Marge:31.6% | Vol:48.0% | Omzet:2,449,695 | actief
ADB.DE           | opname:2026-08-22 | ROE:63.0% | Debt:61.4 | Marge:28.7% | Vol:40.2% | Omzet:997,490 | actief
ADS.DE           | opname:2026-05-08 | ROE:24.3% | Debt:94.1 | Marge:5.3% | Vol:34.0% | Omzet:107,239,345 | actief
AIL.DE           | opname:2026-08-22 | ROE:14.0% | Debt:63.3 | Marge:13.1% | Vol:20.1% | Omzet:193,182 | actief
AIR.DE           | opname:2026-05-08 | ROE:23.2% | Debt:55.0 | Marge:7.7% | Vol:29.3% | Omzet:48,070,287 | actief
AMZ.DE           | opname:2026-08-16 | ROE:30.6% | Debt:45.6 | Marge:17.4% | Vol:34.8% | Omzet:8,924,306 | actief
AOF.DE           | opname:2026-08-16 | ROE:66.1% | Debt:6.4 | Marge:25.6% | Vol:43.7% | Omzet:2,216,645 | actief
AP2.DE           | opname:2026-08-16 | ROE:41.1% | Debt:25.5 | Marge:30.1% | Vol:54.8% | Omzet:764,356 | actief
APC.DE           | opname:2026-08-22 | ROE:148.8% | Debt:78.4 | Marge:27.6% | Vol:26.0% | Omzet:6,403,930 | actief
ASME.DE          | opname:2026-08-16 | ROE:53.9% | Debt:9.1 | Marge:30.1% | Vol:42.2% | Omzet:7,432,378 | actief
ASML.AS          | opname:2025-01-15 | ROE:42% | Debt:12.0 | Marge:28% | Vol:31% | Omzet:? | actief
BEI.DE           | opname:2026-05-03 | ROE:10.9% | Debt:122.1 | Marge:9.8% | Vol:30.4% | Omzet:33,194,962 | actief
BFSA.DE          | opname:2026-05-08 | ROE:11.0% | Debt:92.1 | Marge:7.3% | Vol:31.6% | Omzet:2,065,113 | actief
BMT.DE           | opname:2026-08-22 | ROE:13.4% | Debt:72.2 | Marge:25.0% | Vol:24.0% | Omzet:4,035,074 | actief
BOSS.DE          | opname:2026-05-08 | ROE:14.8% | Debt:62.4 | Marge:5.3% | Vol:19.0% | Omzet:15,704,711 | actief
BSI.DE           | opname:2026-08-22 | ROE:44.9% | Debt:62.5 | Marge:28.4% | Vol:54.8% | Omzet:208,872 | actief
BSL.DE           | opname:2026-05-08 | ROE:20.3% | Debt:38.3 | Marge:10.9% | Vol:54.1% | Omzet:690,488 | actief
BSN.DE           | opname:2026-08-22 | ROE:12.2% | Debt:98.5 | Marge:7.1% | Vol:22.6% | Omzet:152,721 | actief
BSP.DE           | opname:2026-08-16 | ROE:18.6% | Debt:73.0 | Marge:7.2% | Vol:31.7% | Omzet:3,049,664 | actief
CCC3.DE          | opname:2026-08-22 | ROE:42.1% | Debt:115.5 | Marge:28.6% | Vol:19.7% | Omzet:765,823 | actief
CEK.DE           | opname:2026-08-22 | ROE:28.5% | Debt:11.1 | Marge:11.4% | Vol:57.5% | Omzet:218,310 | actief
CHV.DE           | opname:2026-08-22 | ROE:12.2% | Debt:19.0 | Marge:9.8% | Vol:26.6% | Omzet:675,639 | actief
CIS.DE           | opname:2026-08-16 | ROE:27.3% | Debt:58.7 | Marge:21.0% | Vol:34.4% | Omzet:696,326 | actief
CWC.DE           | opname:2026-05-17 | ROE:13.4% | Debt:9.0 | Marge:6.4% | Vol:19.6% | Omzet:903,885 | actief
