# MASTERLIJST 045 — Londen
# Laatste update: 11/08/2026
# Criteria: ROE>7% | Debt<130 | Marge>4% | Vol 18%-65% | Omzet>€150,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
AAZ.L            | opname:2026-08-11 | ROE:23.2% | Debt:78.5 | Marge:14.4% | Vol:61.9% | Omzet:43,323,882 | actief
ABDN.L           | opname:2026-05-08 | ROE:7.6% | Debt:10.8 | Marge:28.1% | Vol:29.9% | Omzet:940,959,006 | actief
ABF.L            | opname:2026-05-08 | ROE:8.5% | Debt:8.4 | Marge:4.9% | Vol:27.5% | Omzet:1,937,902,404 | actief
AEP.L            | opname:2026-05-04 | ROE:15.1% | Debt:9.2 | Marge:19.5% | Vol:45.8% | Omzet:92,000,988 | actief
AJB.L            | opname:2026-05-04 | ROE:59.9% | Debt:5.7 | Marge:35.5% | Vol:31.0% | Omzet:586,330,908 | actief
ALFA.L           | opname:2026-08-11 | ROE:61.5% | Debt:18.0 | Marge:23.8% | Vol:30.9% | Omzet:117,194,635 | actief
ALU.L            | opname:2026-08-11 | ROE:18.8% | Debt:48.0 | Marge:7.1% | Vol:39.0% | Omzet:21,741,452 | actief
AMCO.L           | opname:2026-08-11 | ROE:13.5% | Debt:95.2 | Marge:4.2% | Vol:46.2% | Omzet:19,845,045 | actief
ANP.L            | opname:2026-08-11 | ROE:17.5% | Debt:59.6 | Marge:14.3% | Vol:37.8% | Omzet:18,644,916 | actief
ANTO.L           | opname:2026-05-04 | ROE:15.1% | Debt:53.1 | Marge:15.4% | Vol:49.9% | Omzet:4,322,787,976 | actief
APN.L            | opname:2026-05-04 | ROE:49.4% | Debt:4.5 | Marge:20.6% | Vol:35.8% | Omzet:123,273,696 | actief
APTD.L           | opname:2026-05-08 | ROE:7.2% | Debt:15.4 | Marge:6.2% | Vol:35.3% | Omzet:11,789,719 | actief
ARC.L            | opname:2026-08-11 | ROE:9.7% | Debt:4.3 | Marge:27.0% | Vol:24.5% | Omzet:1,413,275 | actief
ASHM.L           | opname:2026-05-04 | ROE:14.5% | Debt:2.2 | Marge:85.7% | Vol:39.0% | Omzet:297,101,072 | actief
ATYM.L           | opname:2026-05-04 | ROE:12.7% | Debt:2.3 | Marge:17.8% | Vol:47.8% | Omzet:543,799,422 | actief
AUTO.L           | opname:2026-05-04 | ROE:60.2% | Debt:51.8 | Marge:47.1% | Vol:28.0% | Omzet:2,585,501,687 | actief
AVON.L           | opname:2026-05-17 | ROE:10.5% | Debt:48.3 | Marge:5.6% | Vol:28.3% | Omzet:152,070,432 | actief
AZN.L            | opname:2026-05-04 | ROE:22.0% | Debt:64.2 | Marge:17.0% | Vol:27.7% | Omzet:33,045,020,867 | actief
BA.L             | opname:2026-05-04 | ROE:18.6% | Debt:73.0 | Marge:7.2% | Vol:30.6% | Omzet:12,705,231,154 | actief
BAG.L            | opname:2026-08-11 | ROE:14.1% | Debt:13.9 | Marge:10.8% | Vol:20.2% | Omzet:123,323,233 | actief
BATS.L           | opname:2026-05-04 | ROE:13.4% | Debt:72.2 | Marge:25.0% | Vol:24.3% | Omzet:18,646,444,955 | actief
BCG.L            | opname:2026-05-04 | ROE:15.8% | Debt:24.8 | Marge:57.6% | Vol:39.1% | Omzet:488,468,763 | actief
BEZ.L            | opname:2026-05-04 | ROE:14.2% | Debt:12.8 | Marge:11.8% | Vol:48.2% | Omzet:4,975,808,990 | actief
BKG.L            | opname:2026-05-04 | ROE:8.8% | Debt:18.2 | Marge:13.4% | Vol:29.3% | Omzet:1,258,213,057 | actief
BLND.L           | opname:2026-05-08 | ROE:7.8% | Debt:53.1 | Marge:73.7% | Vol:24.9% | Omzet:1,843,644,981 | actief
BMY.L            | opname:2026-08-11 | ROE:12.5% | Debt:13.8 | Marge:8.3% | Vol:31.4% | Omzet:175,280,977 | actief
BOKU.L           | opname:2026-08-11 | ROE:8.4% | Debt:3.5 | Marge:9.5% | Vol:49.2% | Omzet:164,998,160 | actief
BOY.L            | opname:2026-05-08 | ROE:9.3% | Debt:34.9 | Marge:7.9% | Vol:44.1% | Omzet:259,612,395 | actief
BRWM.L           | opname:2026-05-08 | ROE:53.5% | Debt:6.0 | Marge:98.8% | Vol:33.6% | Omzet:429,112,790 | actief
