# MASTERLIJST 049 — Stockholm
# Laatste update: 19/07/2026
# Nitro Criteria: ROE>3% | Debt<150 | Marge>2% | Vol 30%-80% | Omzet>€500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
8TRA.ST          | opname:2026-07-19 | ROE:6.9% | Debt:143.7 | Marge:3.0% | Vol:30.5% | Omzet:39,600,736 | actief
ALIF-B.ST        | opname:2026-07-19 | ROE:10.9% | Debt:88.1 | Marge:5.7% | Vol:35.6% | Omzet:19,813,570 | actief
ALIV-SDB.ST      | opname:2026-07-19 | ROE:25.9% | Debt:87.5 | Marge:5.8% | Vol:31.0% | Omzet:75,574,582 | actief
ALLEI.ST         | opname:2026-07-19 | ROE:5.5% | Debt:6.3 | Marge:5.0% | Vol:35.9% | Omzet:34,241,105 | actief
ALLIGO-B.ST      | opname:2026-07-19 | ROE:12.8% | Debt:87.6 | Marge:3.4% | Vol:36.1% | Omzet:2,906,535 | actief
AZA.ST           | opname:2026-07-19 | ROE:39.1% | Debt:4.3 | Marge:53.0% | Vol:30.2% | Omzet:99,674,692 | actief
BMAX.ST          | opname:2026-07-19 | ROE:9.5% | Debt:76.1 | Marge:3.8% | Vol:31.1% | Omzet:10,010,733 | actief
BOL.ST           | opname:2026-07-19 | ROE:14.7% | Debt:28.5 | Marge:11.0% | Vol:44.4% | Omzet:583,252,743 | actief
BOOZT.ST         | opname:2026-07-19 | ROE:11.0% | Debt:26.1 | Marge:3.7% | Vol:38.1% | Omzet:18,090,389 | actief
BRAV.ST          | opname:2026-07-19 | ROE:16.0% | Debt:43.7 | Marge:4.8% | Vol:31.0% | Omzet:43,347,360 | actief
BTS-B.ST         | opname:2026-07-19 | ROE:8.7% | Debt:39.3 | Marge:5.1% | Vol:51.9% | Omzet:4,444,390 | actief
BUFAB.ST         | opname:2026-07-19 | ROE:17.3% | Debt:88.9 | Marge:8.4% | Vol:30.4% | Omzet:17,105,135 | actief
CAMX.ST          | opname:2026-07-19 | ROE:15.9% | Debt:2.3 | Marge:29.9% | Vol:48.4% | Omzet:70,139,872 | actief
CEVI.ST          | opname:2026-07-19 | ROE:15.3% | Debt:2.5 | Marge:18.4% | Vol:43.0% | Omzet:5,265,802 | actief
CLAS-B.ST        | opname:2026-07-19 | ROE:42.1% | Debt:60.2 | Marge:9.3% | Vol:37.0% | Omzet:32,873,244 | actief
CRAD-B.ST        | opname:2026-07-19 | ROE:8.8% | Debt:2.7 | Marge:7.0% | Vol:41.7% | Omzet:1,083,248 | actief
DEDI.ST          | opname:2026-07-19 | ROE:13.1% | Debt:10.4 | Marge:2.6% | Vol:30.8% | Omzet:520,615 | actief
ENRO.ST          | opname:2026-07-19 | ROE:7.0% | Debt:10.7 | Marge:2.3% | Vol:55.6% | Omzet:517,755 | actief
EPEN.ST          | opname:2026-07-19 | ROE:10.3% | Debt:42.9 | Marge:7.1% | Vol:38.3% | Omzet:1,934,481 | actief
EQT.ST           | opname:2026-07-19 | ROE:9.3% | Debt:35.2 | Marge:27.6% | Vol:35.2% | Omzet:511,211,743 | actief
FMM-B.ST         | opname:2026-07-19 | ROE:12.6% | Debt:7.7 | Marge:6.8% | Vol:55.4% | Omzet:1,412,483 | actief
HMS.ST           | opname:2026-07-19 | ROE:15.8% | Debt:59.2 | Marge:14.5% | Vol:35.4% | Omzet:21,919,587 | actief
HOFI.ST          | opname:2026-07-19 | ROE:17.7% | Debt:133.3 | Marge:26.5% | Vol:41.1% | Omzet:17,088,666 | actief
INDT.ST          | opname:2026-07-19 | ROE:15.7% | Debt:60.8 | Marge:8.1% | Vol:37.2% | Omzet:97,697,031 | actief
INSTAL.ST        | opname:2026-07-19 | ROE:11.8% | Debt:96.0 | Marge:2.8% | Vol:47.7% | Omzet:15,922,520 | actief
INWI.ST          | opname:2026-07-19 | ROE:10.6% | Debt:63.2 | Marge:5.6% | Vol:33.7% | Omzet:23,470,315 | actief
LUMI.ST          | opname:2026-07-19 | ROE:22.2% | Debt:6.2 | Marge:33.6% | Vol:52.0% | Omzet:128,567,435 | actief
MILDEF.ST        | opname:2026-07-19 | ROE:17.6% | Debt:41.8 | Marge:10.0% | Vol:65.6% | Omzet:56,160,688 | actief
MIPS.ST          | opname:2026-07-19 | ROE:20.8% | Debt:45.6 | Marge:22.9% | Vol:54.1% | Omzet:25,172,916 | actief
MMGR-B.ST        | opname:2026-07-19 | ROE:24.5% | Debt:91.5 | Marge:6.2% | Vol:35.6% | Omzet:6,176,764 | actief
MSAB-B.ST        | opname:2026-07-19 | ROE:59.6% | Debt:51.4 | Marge:13.7% | Vol:48.3% | Omzet:1,041,491 | actief
MSON-B.ST        | opname:2026-07-19 | ROE:3.7% | Debt:19.5 | Marge:3.1% | Vol:42.6% | Omzet:1,773,736 | actief
MYCR.ST          | opname:2026-07-19 | ROE:23.7% | Debt:5.3 | Marge:20.1% | Vol:39.2% | Omzet:56,617,347 | actief
NCAB.ST          | opname:2026-07-19 | ROE:15.6% | Debt:73.3 | Marge:5.9% | Vol:56.3% | Omzet:17,901,350 | actief
NIL-B.ST         | opname:2026-07-19 | ROE:13.3% | Debt:19.8 | Marge:5.1% | Vol:72.1% | Omzet:1,820,005 | actief
OEM-B.ST         | opname:2026-07-19 | ROE:25.0% | Debt:5.1 | Marge:11.8% | Vol:32.5% | Omzet:11,920,851 | actief
PACT.ST          | opname:2026-07-19 | ROE:17.3% | Debt:54.8 | Marge:4.0% | Vol:32.7% | Omzet:6,211,812 | actief
PRIC-B.ST        | opname:2026-07-19 | ROE:6.4% | Debt:30.8 | Marge:3.2% | Vol:59.9% | Omzet:1,442,091 | actief
