# MASTERLIJST 052 — Oslo
# Laatste update: 19/07/2026
# Nitro Criteria: ROE>3% | Debt<150 | Marge>2% | Vol 30%-80% | Omzet>€500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
AKER.OL          | opname:2026-07-19 | ROE:45.1% | Debt:63.6 | Marge:69.3% | Vol:30.9% | Omzet:57,067,844 | actief
AKRBP.OL         | opname:2026-07-19 | ROE:12.1% | Debt:83.4 | Marge:11.9% | Vol:34.0% | Omzet:354,027,680 | actief
AKSO.OL          | opname:2026-07-19 | ROE:35.7% | Debt:32.6 | Marge:5.5% | Vol:30.9% | Omzet:26,142,308 | actief
AKVA.OL          | opname:2026-07-19 | ROE:14.5% | Debt:115.4 | Marge:4.4% | Vol:36.7% | Omzet:698,261 | actief
AUTO.OL          | opname:2026-07-19 | ROE:8.3% | Debt:15.3 | Marge:20.2% | Vol:62.6% | Omzet:49,657,157 | actief
BWE.OL           | opname:2026-07-19 | ROE:8.7% | Debt:116.9 | Marge:12.3% | Vol:48.2% | Omzet:5,948,636 | actief
BWLPG.OL         | opname:2026-07-19 | ROE:20.9% | Debt:44.5 | Marge:10.1% | Vol:39.5% | Omzet:72,264,203 | actief
CADLR.OL         | opname:2026-07-19 | ROE:18.7% | Debt:94.8 | Marge:39.9% | Vol:34.9% | Omzet:34,511,795 | actief
EQNR.OL          | opname:2026-07-19 | ROE:12.4% | Debt:73.0 | Marge:5.3% | Vol:37.4% | Omzet:1,020,632,046 | actief
FRO.OL           | opname:2026-07-19 | ROE:35.0% | Debt:92.6 | Marge:40.2% | Vol:41.4% | Omzet:339,676,740 | actief
HAFNI.OL         | opname:2026-07-19 | ROE:18.9% | Debt:40.4 | Marge:19.0% | Vol:34.9% | Omzet:47,950,768 | actief
HAUTO.OL         | opname:2026-07-19 | ROE:36.6% | Debt:75.8 | Marge:31.7% | Vol:36.7% | Omzet:66,678,444 | actief
KOA.OL           | opname:2026-07-19 | ROE:7.9% | Debt:98.9 | Marge:2.1% | Vol:34.3% | Omzet:5,049,952 | actief
MEDI.OL          | opname:2026-07-19 | ROE:32.1% | Debt:6.8 | Marge:21.7% | Vol:41.1% | Omzet:4,865,354 | actief
MPCC.OL          | opname:2026-07-19 | ROE:24.4% | Debt:48.8 | Marge:42.8% | Vol:31.8% | Omzet:42,417,205 | actief
PEXIP.OL         | opname:2026-07-19 | ROE:17.5% | Debt:2.6 | Marge:21.1% | Vol:37.1% | Omzet:15,403,931 | actief
SMOP.OL          | opname:2026-07-19 | ROE:26.5% | Debt:22.1 | Marge:7.7% | Vol:60.2% | Omzet:8,438,500 | actief
SNI.OL           | opname:2026-07-19 | ROE:9.2% | Debt:97.9 | Marge:7.8% | Vol:31.8% | Omzet:18,355,370 | actief
SOFF.OL          | opname:2026-07-19 | ROE:35.4% | Debt:105.9 | Marge:43.2% | Vol:32.8% | Omzet:7,381,685 | actief
SUBC.OL          | opname:2026-07-19 | ROE:10.9% | Debt:19.2 | Marge:6.7% | Vol:30.6% | Omzet:97,781,592 | actief
WAWI.OL          | opname:2026-07-19 | ROE:34.1% | Debt:96.4 | Marge:18.3% | Vol:33.0% | Omzet:45,245,305 | actief
YAR.OL           | opname:2026-07-19 | ROE:17.9% | Debt:41.7 | Marge:9.3% | Vol:31.4% | Omzet:230,590,198 | actief
ZAP.OL           | opname:2026-07-19 | ROE:11.3% | Debt:7.5 | Marge:4.9% | Vol:50.5% | Omzet:12,540,892 | actief
