# MASTERLIJST 056 — NYSE int
# Laatste update: 16/08/2026
# Nitro Criteria: ROE>4% | Debt<140 | Marge>3% | Vol 35%-95% | Omzet>€2,500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
AEM              | opname:2026-08-16 | ROE:23.0% | Debt:112.0 | Marge:40.4% | Vol:46.4% | Omzet:482,959,344 | actief
AG               | opname:2026-08-16 | ROE:13.4% | Debt:9.8 | Marge:21.2% | Vol:75.8% | Omzet:331,642,970 | actief
ASX              | opname:2026-08-16 | ROE:17.0% | Debt:70.6 | Marge:8.5% | Vol:54.9% | Omzet:205,757,415 | actief
AU               | opname:2026-08-16 | ROE:44.7% | Debt:16.7 | Marge:32.2% | Vol:59.2% | Omzet:251,475,307 | actief
BB               | opname:2026-08-16 | ROE:8.1% | Debt:29.5 | Marge:10.3% | Vol:59.9% | Omzet:108,804,202 | actief
BEKE             | opname:2026-08-16 | ROE:5.1% | Debt:25.3 | Marge:3.8% | Vol:37.0% | Omzet:80,842,663 | actief
BWLP             | opname:2026-08-16 | ROE:20.9% | Debt:44.5 | Marge:10.1% | Vol:39.5% | Omzet:6,475,235 | actief
CPA              | opname:2026-08-16 | ROE:23.1% | Debt:89.3 | Marge:15.7% | Vol:42.5% | Omzet:43,539,808 | actief
EC               | opname:2026-08-16 | ROE:15.9% | Debt:95.7 | Marge:10.2% | Vol:39.2% | Omzet:33,120,038 | actief
EDU              | opname:2026-08-16 | ROE:12.5% | Debt:19.6 | Marge:8.4% | Vol:38.2% | Omzet:46,645,409 | actief
EGO              | opname:2026-08-16 | ROE:11.3% | Debt:25.7 | Marge:29.8% | Vol:59.4% | Omzet:83,722,167 | actief
EMBJ             | opname:2026-08-16 | ROE:12.2% | Debt:67.5 | Marge:5.3% | Vol:42.1% | Omzet:78,788,794 | actief
ESTC             | opname:2026-08-16 | ROE:33.4% | Debt:46.3 | Marge:21.1% | Vol:54.5% | Omzet:135,131,046 | actief
ETN              | opname:2026-08-16 | ROE:19.7% | Debt:105.1 | Marge:12.8% | Vol:37.8% | Omzet:961,873,327 | actief
EXK              | opname:2026-08-16 | ROE:10.6% | Debt:34.8 | Marge:8.9% | Vol:78.6% | Omzet:106,368,994 | actief
FN               | opname:2026-08-16 | ROE:20.0% | Debt:19.2 | Marge:9.9% | Vol:73.8% | Omzet:385,924,971 | actief
FRO              | opname:2026-08-16 | ROE:35.0% | Debt:92.6 | Marge:40.2% | Vol:43.0% | Omzet:88,994,145 | actief
GFI              | opname:2026-08-16 | ROE:51.9% | Debt:37.1 | Marge:40.8% | Vol:61.6% | Omzet:145,131,866 | actief
GNK              | opname:2026-08-16 | ROE:4.6% | Debt:36.5 | Marge:9.1% | Vol:35.7% | Omzet:9,063,931 | actief
GTES             | opname:2026-08-16 | ROE:10.4% | Debt:60.7 | Marge:10.4% | Vol:41.9% | Omzet:55,731,604 | actief
HAFN             | opname:2026-08-16 | ROE:18.9% | Debt:40.4 | Marge:19.0% | Vol:35.7% | Omzet:9,667,917 | actief
HBM              | opname:2026-08-16 | ROE:16.7% | Debt:19.9 | Marge:27.5% | Vol:61.5% | Omzet:123,666,547 | actief
HKD              | opname:2026-08-16 | ROE:25.4% | Debt:43.2 | Marge:40.2% | Vol:94.4% | Omzet:4,658,492 | actief
IAG              | opname:2026-08-16 | ROE:32.3% | Debt:12.2 | Marge:31.4% | Vol:64.4% | Omzet:135,462,306 | actief
ICL              | opname:2026-08-16 | ROE:5.6% | Debt:51.2 | Marge:4.0% | Vol:39.2% | Omzet:6,696,130 | actief
LPG              | opname:2026-08-16 | ROE:28.3% | Debt:52.3 | Marge:55.6% | Vol:41.6% | Omzet:18,423,912 | actief
NAT              | opname:2026-08-16 | ROE:11.4% | Debt:91.1 | Marge:16.4% | Vol:39.7% | Omzet:16,800,912 | actief
NEXA             | opname:2026-08-16 | ROE:29.9% | Debt:124.7 | Marge:8.0% | Vol:71.3% | Omzet:8,319,756 | actief
NVT              | opname:2026-08-16 | ROE:15.7% | Debt:41.0 | Marge:12.4% | Vol:44.0% | Omzet:268,829,192 | actief
RACE             | opname:2026-08-16 | ROE:45.4% | Debt:86.4 | Marge:22.2% | Vol:35.4% | Omzet:245,970,074 | actief
SAP              | opname:2026-08-16 | ROE:18.3% | Debt:22.0 | Marge:20.4% | Vol:38.6% | Omzet:510,176,023 | actief
SE               | opname:2026-08-16 | ROE:14.7% | Debt:31.6 | Marge:5.9% | Vol:50.6% | Omzet:577,029,074 | actief
SGHC             | opname:2026-08-16 | ROE:49.5% | Debt:12.9 | Marge:15.1% | Vol:47.2% | Omzet:35,616,997 | actief
SIG              | opname:2026-08-16 | ROE:15.9% | Debt:64.5 | Marge:4.3% | Vol:45.9% | Omzet:79,106,435 | actief
SLB              | opname:2026-08-16 | ROE:12.9% | Debt:47.0 | Marge:8.5% | Vol:35.7% | Omzet:722,460,896 | actief
SN               | opname:2026-08-16 | ROE:27.5% | Debt:32.1 | Marge:10.1% | Vol:43.0% | Omzet:214,088,747 | actief
SQM              | opname:2026-08-16 | ROE:13.4% | Debt:63.4 | Marge:15.4% | Vol:48.8% | Omzet:89,338,024 | actief
STM              | opname:2026-08-16 | ROE:2.7% | Debt:23.4 | Marge:3.6% | Vol:59.6% | Omzet:392,158,072 | actief
STVN             | opname:2026-08-16 | ROE:9.1% | Debt:28.7 | Marge:11.0% | Vol:48.3% | Omzet:8,737,713 | actief
TAL              | opname:2026-08-16 | ROE:23.7% | Debt:9.9 | Marge:28.4% | Vol:45.2% | Omzet:42,869,015 | actief
TECK             | opname:2026-08-16 | ROE:8.7% | Debt:34.3 | Marge:17.9% | Vol:48.7% | Omzet:206,737,866 | actief
VAL              | opname:2026-08-16 | ROE:33.6% | Debt:36.2 | Marge:44.0% | Vol:60.4% | Omzet:85,707,456 | actief
VIST             | opname:2026-08-16 | ROE:29.8% | Debt:106.5 | Marge:23.6% | Vol:50.3% | Omzet:71,900,656 | actief
YPF              | opname:2026-08-16 | ROE:7.3% | Debt:84.8 | Marge:4.0% | Vol:52.5% | Omzet:81,111,048 | actief
ZGN              | opname:2026-08-16 | ROE:10.5% | Debt:89.4 | Marge:5.1% | Vol:43.5% | Omzet:9,696,792 | actief
