# MASTERLIJST 057 — NYSE
# Laatste update: 30/08/2026
# Nitro Criteria: ROE>4% | Debt<140 | Marge>3% | Vol 35%-95% | Omzet>€2,500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
AII              | opname:2026-08-22 | ROE:26.2% | Debt:9.1 | Marge:26.2% | Vol:40.8% | Omzet:2,835,034 | actief
AIR              | opname:2026-08-30 | ROE:12.9% | Debt:59.4 | Marge:5.7% | Vol:43.3% | Omzet:49,221,474 | actief
AMPY             | opname:2026-08-30 | ROE:5.3% | Debt:70.6 | Marge:10.6% | Vol:61.8% | Omzet:4,924,174 | actief
ANF              | opname:2026-08-22 | ROE:40.6% | Debt:94.0 | Marge:10.0% | Vol:71.8% | Omzet:159,332,201 | actief
APH              | opname:2026-08-30 | ROE:38.1% | Debt:120.4 | Marge:17.7% | Vol:45.1% | Omzet:1,238,667,938 | actief
APO              | opname:2026-08-30 | ROE:11.4% | Debt:101.0 | Marge:5.3% | Vol:37.1% | Omzet:513,547,010 | actief
AR               | opname:2026-08-22 | ROE:14.2% | Debt:55.5 | Marge:18.7% | Vol:37.5% | Omzet:181,941,751 | actief
ARIS             | opname:2026-08-22 | ROE:19.1% | Debt:28.7 | Marge:22.4% | Vol:63.7% | Omzet:26,450,828 | actief
ASC              | opname:2026-08-22 | ROE:16.2% | Debt:5.0 | Marge:29.7% | Vol:39.2% | Omzet:8,671,575 | actief
ATI              | opname:2026-08-22 | ROE:25.4% | Debt:109.7 | Marge:10.1% | Vol:41.3% | Omzet:246,842,571 | actief
AVNT             | opname:2026-08-30 | ROE:7.1% | Debt:76.6 | Marge:5.1% | Vol:36.3% | Omzet:27,217,386 | actief
AYI              | opname:2026-08-22 | ROE:17.4% | Debt:28.2 | Marge:10.3% | Vol:38.4% | Omzet:114,314,340 | actief
B                | opname:2026-08-22 | ROE:27.0% | Debt:12.7 | Marge:31.6% | Vol:48.6% | Omzet:600,161,486 | actief
BBY              | opname:2026-08-30 | ROE:43.1% | Debt:129.8 | Marge:3.0% | Vol:37.8% | Omzet:288,652,531 | actief
BOW              | opname:2026-08-22 | ROE:14.1% | Debt:31.4 | Marge:10.1% | Vol:38.3% | Omzet:6,862,882 | actief
BX               | opname:2026-08-22 | ROE:31.4% | Debt:68.2 | Marge:22.7% | Vol:36.4% | Omzet:714,437,655 | actief
CACI             | opname:2026-08-30 | ROE:12.8% | Debt:120.7 | Marge:5.6% | Vol:41.2% | Omzet:151,553,891 | actief
CARS             | opname:2026-08-30 | ROE:7.4% | Debt:100.8 | Marge:4.7% | Vol:45.9% | Omzet:10,034,347 | actief
CBZ              | opname:2026-08-30 | ROE:6.5% | Debt:102.1 | Marge:4.4% | Vol:54.9% | Omzet:40,500,916 | actief
CCS              | opname:2026-08-30 | ROE:5.2% | Debt:66.1 | Marge:3.4% | Vol:42.0% | Omzet:18,599,651 | actief
CDE              | opname:2026-08-30 | ROE:12.8% | Debt:6.9 | Marge:26.8% | Vol:75.2% | Omzet:479,672,278 | actief
CF               | opname:2026-08-22 | ROE:29.9% | Debt:40.5 | Marge:27.1% | Vol:42.5% | Omzet:320,389,932 | actief
CGAU             | opname:2026-08-22 | ROE:32.9% | Debt:2.1 | Marge:36.9% | Vol:54.4% | Omzet:27,888,436 | actief
CIEN             | opname:2026-08-30 | ROE:15.5% | Debt:54.6 | Marge:7.9% | Vol:74.2% | Omzet:929,813,987 | actief
CNMD             | opname:2026-08-30 | ROE:5.5% | Debt:80.1 | Marge:4.1% | Vol:45.4% | Omzet:21,366,144 | actief
COHR             | opname:2026-08-30 | ROE:8.0% | Debt:31.6 | Marge:11.3% | Vol:84.5% | Omzet:1,462,628,114 | actief
CRM              | opname:2026-08-30 | ROE:19.4% | Debt:110.4 | Marge:22.0% | Vol:47.5% | Omzet:2,473,838,157 | actief
CRS              | opname:2026-08-22 | ROE:25.8% | Debt:32.7 | Marge:17.0% | Vol:49.6% | Omzet:311,844,505 | actief
CSW              | opname:2026-08-22 | ROE:10.9% | Debt:84.9 | Marge:10.3% | Vol:44.0% | Omzet:42,740,467 | actief
CTS              | opname:2026-08-22 | ROE:12.4% | Debt:15.7 | Marge:12.4% | Vol:35.9% | Omzet:12,142,948 | actief
CVE              | opname:2026-08-22 | ROE:20.9% | Debt:34.0 | Marge:12.4% | Vol:36.2% | Omzet:262,300,087 | actief
CVNA             | opname:2026-08-30 | ROE:58.8% | Debt:110.9 | Marge:6.3% | Vol:62.1% | Omzet:1,144,353,432 | actief
CVSA             | opname:2026-08-22 | ROE:18.6% | Debt:62.6 | Marge:12.9% | Vol:53.4% | Omzet:47,947,547 | actief
CXM              | opname:2026-08-30 | ROE:5.1% | Debt:9.0 | Marge:3.3% | Vol:39.0% | Omzet:17,708,783 | actief
CXT              | opname:2026-08-22 | ROE:11.5% | Debt:114.1 | Marge:7.8% | Vol:39.6% | Omzet:33,814,090 | actief
CXW              | opname:2026-08-30 | ROE:8.8% | Debt:95.5 | Marge:5.1% | Vol:39.3% | Omzet:25,908,261 | actief
DAL              | opname:2026-08-30 | ROE:20.1% | Debt:96.6 | Marge:5.8% | Vol:39.0% | Omzet:592,941,231 | actief
DAR              | opname:2026-08-22 | ROE:12.1% | Debt:78.6 | Marge:9.1% | Vol:35.7% | Omzet:124,851,369 | actief
DDS              | opname:2026-08-22 | ROE:33.7% | Debt:21.5 | Marge:10.3% | Vol:41.2% | Omzet:76,577,563 | actief
DFIN             | opname:2026-08-30 | ROE:8.6% | Debt:54.6 | Marge:4.5% | Vol:46.8% | Omzet:13,276,641 | actief
